matchup,candidate_a,candidate_b,pollster,date,sample,pct_a,pct_b
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Elabe,9 - 10 juillet 2026,1503,46,54
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Ifop,7 - 8 juillet 2026,984,45,55
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Harris,7 - 8 juillet 2026,1592,45,55
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Harris,25 - 27 mai 2026,1744,46,54
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Elabe,25 - 27 mars 2026,1504,49,51
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Ifop,16 - 18 avril 2024,1093,47,53
Attal_RE-LePen_RN,Attal_RE,LePen_RN,Ifop,31 janvier - 1er février 2024,1081,49,51
Glucksmann_PP-LePen_RN,Glucksmann_PP,LePen_RN,Elabe,9 - 10 juillet 2026,1503,41.5,58.5
Melenchon_LFI-LePen_RN,Melenchon_LFI,LePen_RN,Elabe,9 - 10 juillet 2026,1503,32.5,67.5
Melenchon_LFI-LePen_RN,Melenchon_LFI,LePen_RN,Ifop,7 - 8 juillet 2026,984,30,70
Melenchon_LFI-LePen_RN,Melenchon_LFI,LePen_RN,Harris,7 - 8 juillet 2026,1592,33,67
Melenchon_LFI-LePen_RN,Melenchon_LFI,LePen_RN,Harris,25 - 27 mai 2026,1744,33,67
Melenchon_LFI-LePen_RN,Melenchon_LFI,LePen_RN,Cluster 17,2 - 5 avril 2024,1713,35,65
Melenchon_LFI-LePen_RN,Melenchon_LFI,LePen_RN,Ifop,31 janvier - 1er février 2024,1081,36,64
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Elabe,9 - 10 juillet 2026,1503,48,52
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Ifop,7 - 8 juillet 2026,984,46,54
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Harris,7 - 8 juillet 2026,1592,49,51
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Harris,25 - 27 mai 2026,1744,48,52
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Elabe,25 - 27 mars 2026,1504,53,47
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Ifop,11 - 30 avril 2025,1838,52,48
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Odoxa,23 - 24 avril 2025,1005,54,46
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Ifop,16 - 18 avril 2024,1090,49,51
Philippe_HOR-LePen_RN,Philippe_HOR,LePen_RN,Ifop,31 janvier - 1er février 2024,1081,50,50
Retailleau_LR-LePen_RN,Retailleau_LR,LePen_RN,Elabe,9 - 10 juillet 2026,1503,44,56
Ruffin_D-LePen_RN,Ruffin_D,LePen_RN,Cluster 17,2 - 5 avril 2024,1713,50,50
Attal_RE-Bardella_RN,Attal_RE,Bardella_RN,Harris,25 - 27 mai 2026,1744,43,57
Attal_RE-Bardella_RN,Attal_RE,Bardella_RN,Odoxa,19 - 20 novembre 2025,1004,44,56
Attal_RE-Bardella_RN,Attal_RE,Bardella_RN,Ifop,11 - 30 avril 2025,9128,48,52
Attal_RE-Bardella_RN,Attal_RE,Bardella_RN,Ifop,16 - 18 avril 2024,1093,49,51
Glucksmann_PP-Bardella_RN,Glucksmann_PP,Bardella_RN,Elabe,25 - 27 mars 2026,1504,41.5,58.5
Glucksmann_PP-Bardella_RN,Glucksmann_PP,Bardella_RN,Odoxa,19 - 20 novembre 2025,1004,42,58
Melenchon_LFI-Bardella_RN,Melenchon_LFI,Bardella_RN,Harris,25 - 27 mai 2026,1744,32,68
Melenchon_LFI-Bardella_RN,Melenchon_LFI,Bardella_RN,Elabe,25 - 27 mars 2026,1504,28.5,71.5
Melenchon_LFI-Bardella_RN,Melenchon_LFI,Bardella_RN,Odoxa,19 - 20 novembre 2025,689,26,74
Melenchon_LFI-Bardella_RN,Melenchon_LFI,Bardella_RN,Ifop,11 - 30 avril 2025,9128,33,67
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Harris,25 - 27 mai 2026,1744,46,54
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Odoxa,20 - 21 mai 2026,1005,48,52
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Elabe,25 - 27 mars 2026,1504,51.5,48.5
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Odoxa,25 - 26 mars 2026,1005,52,48
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Odoxa,19 - 20 novembre 2025,1004,47,53
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Ifop,11 - 30 avril 2025,9128,50,50
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Odoxa,23 - 24 avril 2025,1005,54,46
Philippe_HOR-Bardella_RN,Philippe_HOR,Bardella_RN,Ifop,16 - 18 avril 2024,1090,50,50
Retailleau_LR-Bardella_RN,Retailleau_LR,Bardella_RN,Elabe,25 - 27 mars 2026,1504,42,58
Retailleau_LR-Bardella_RN,Retailleau_LR,Bardella_RN,Ifop,11 - 30 avril 2025,9128,47,53
